text,created_at,retweet_count,favorite_count,is_retweet,id_str
I'm not running against Sleepy Joe Biden. He is not even a factor. Never was remember 1% Joe? I'm running against the Radical Left Do Nothing Democrats &amp; their partner the real opposition party the Lamestream Fake News Media! They are vicious &amp; crazy but we will WIN! https://t.co/ltdHSmaMYT,5/16/20 15:00,33931,101573,FALSE,1.26167E+18
America is proud of Ron Johnson. He never gives up! https://t.co/tfWXWRuy8q,5/16/20 14:41,9695,35681,FALSE,1.26167E+18
Is the NFL watching? https://t.co/gIJSJ6QE7L,5/16/20 14:37,10057,56752,FALSE,1.26167E+18
People can't get enough of this. Great people! https://t.co/b4HM0C298h,5/16/20 13:33,28324,100102,FALSE,1.26165E+18
"We've done a GREAT job on Covid response making all Governors look good some fantastic (and that's OK) but the Lamestream Media doesn't want to go with that narrative and the Do Nothing Dems talking point is to say only bad about ""Trump"". I made everybody look good but me!",5/16/20 13:30,26995,135531,FALSE,1.26165E+18
95% Approval Rating in Republican Party. 51% Plus overall. But you NEVER read or see this in the Fake News Media. Always hearing bad made up numbers on how badly I'm doing. Lamestream Media is unhinged and CORRUPT! https://t.co/ebrufe2ZEQ,5/16/20 13:10,18861,71284,FALSE,1.26165E+18
Mexico must take control of this very big problem! https://t.co/VfSw5j1OWl,5/16/20 12:56,14649,50807,FALSE,1.26164E+18
Lou this is just one of numerous concepts being considered under which we would pay 10% of what we have been paying over many years matching much lower China payments. Have not made final decision. All funds are frozen. Thanks! https://t.co/xQUzHy4NDa,5/16/20 12:51,11192,36795,FALSE,1.26164E+18
"""Scandal has defined the Obama Administration."" @LisaMarieBoothe @ffweekend",5/16/20 12:19,26370,107329,FALSE,1.26163E+18
The Radical Left is in total command &amp; control of Facebook Instagram Twitter and Google. The Administration is working to remedy this illegal situation. Stay tuned and send names &amp; events. Thank you Michelle! https://t.co/ZQfcfD3Hk9,5/16/20 11:56,40440,100484,FALSE,1.26163E+18
So true! https://t.co/3QS54LCaYR,5/16/20 10:37,13843,49278,FALSE,1.26161E+18
Happy Birthday Tom! https://t.co/9hELhRow4G,5/16/20 10:31,7604,35006,FALSE,1.26161E+18
Hello to India! https://t.co/iiR20ZLKrE,5/16/20 4:30,29418,149644,FALSE,1.26151E+18
I'll do it again! https://t.co/ND3yBfM1lJ,5/16/20 4:23,32439,138180,FALSE,1.26151E+18
My Hero. New York's Finest! https://t.co/KOhZ6BHhxc,5/16/20 4:20,12702,58246,FALSE,1.26151E+18
Another Fake Whistleblower. Republicans must do something about these terrible people and now! https://t.co/OVgB5jkzDO,5/16/20 3:34,16981,53783,FALSE,1.2615E+18
"""FAKE NEWS IS NOT ESSENTIAL!""https://t.co/5286zgRVWQ",5/16/20 1:34,31941,116402,FALSE,1.26147E+18
https://t.co/cxDQMyaQD8,5/15/20 22:07,11040,44409,FALSE,1.26142E+18
Such a wonderful reception yesterday in Pennsylvania. Thank you! #MAGA https://t.co/lNQMxRqDiA,5/15/20 19:10,40097,165362,FALSE,1.26137E+18
I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and @narendramodi during this pandemic. We're also cooperating on vaccine development. Together we will beat the invisible enemy!,5/15/20 18:50,79566,377634,FALSE,1.26137E+18
Today I was presented with the brand new @SpaceForceDoD flag in the Oval Office. I will take Great Pride in displaying it at the @WhiteHouse! https://t.co/S29tBFYlQY,5/15/20 18:28,20485,79687,FALSE,1.26136E+18
Chicago's @CTA has big federal resources heading its way to keep the transit system operational and to keep people moving where they need to go. $817M will aid in the economic recovery — buy Made in the USA!,5/15/20 14:35,13398,56967,FALSE,1.2613E+18
I am proud to announce that @NJTransit will receive $1.4B in CARES Act funding to assist in their continued operations and to keep people moving in the NY/NJ area! The LARGEST single Federal transit grant to New Jersey Transit ever. Together we will prevail!,5/15/20 14:29,12629,56254,FALSE,1.2613E+18
Thank you to @foxandfriends for covering supremely the greatest political scandal in the history of the United States OBAMAGATE. Fake News @CNN and Concast's own MSDNC are only trying to make their 3 year Con Job just go away. They are embarrassed and don't know what to do....,5/15/20 12:19,37153,138501,FALSE,1.26127E+18
"....Likewise the @nytimes and @washingtonpost are a disgrace to journalism. They are all Fake News and they know it better than anyone else. History is unfolding and it is not a pretty picture for ""journalism"".",5/15/20 12:19,22028,88372,FALSE,1.26127E+18
It's about time! https://t.co/xLPbfit1mM,5/15/20 3:52,16373,61037,FALSE,1.26114E+18
GREAT! https://t.co/NKasqCcngk,5/15/20 3:51,15093,56540,FALSE,1.26114E+18
Where is the 302? It is missing. Was it stolen or destroyed? General Flynn is being persecuted! #OBAMAGATE,5/15/20 3:37,49216,174011,FALSE,1.26114E+18
